Title,Summary,Price per night (CAD),Sale price (CAD),Number of guests,Number of bedrooms,Number of beds,Number of bathrooms,Unavailable amenities shown,Number of amenities,Overall rating,Number of reviews,Cleanliness,Accuracy,Check-in,Communication,Location,Value,Title clean,downtown,condo,view,luxury,private,parking,yorkville,suite,stylish,heart,tower,apartment,bedroom,1br,free,spacious,cozy,loft,modern,room,near,lake,entire,2br,studio,king,luxurious,lovely,central,beautiful,stun,chic,bright,home,unit,step,bed,city,annex,park,balcony,oasis,centre,close,executive,penthouse,prime,district,house,urban,west,rooftop,cute,amaze,1bdr,arena,south,retreat,corner,core,east,high,floor,quiet,entrance,subway,1bedroom,little,italy,basement,trendy,terrace,sleep,pool,charm,eaton,den,old,gym,overlook,skyline,cntower,elegant,new,queen,bdrm,ent,look,locate,location,stay,full,unique,scotiabank,family,minute,vibrant,sanctuary,Kitchen,Wifi,Dedicated workspace,City skyline view,TV,Elevator,Washer,Air conditioning,Free parking on premises,Pets allowed,Free dryer – In unit,Lake view,Bathtub,Free parking garage on premises – 1 space,Hair dryer,Waterfront,Free washer – In unit,Refrigerator,Security cameras on property,Hot tub,Pool,Courtyard view,Beach access,Dryer,Central air conditioning,Microwave,Garden view,Public or shared beach access,Harbour view,Paid washer – In building,Luggage drop – off allowed,Dryer – In unit,Free street parking,Hair Dryer,Lock on bedroom door,HDTV,Bay view,Free residential garage on premises – 1 space,Gym in building,Paid street parking off premises,Shared pool – open specific hours,Shared hot tub – open specific hours,Valley view,Free driveway parking on premises – 1 space,"42"" HDTV with Netflix, premium cable","HDTV with Amazon Prime Video, Netflix",EV charger,Ski–in/Ski–out,"Shared indoor pool – available all year, open specific hours","50"" HDTV with Netflix",Blomberg refrigerator,"Shared outdoor pool – available seasonally, open specific hours, infinity","Shared hot tub – available all year, open specific hours",Paid dryer – In building,"TV with Amazon Prime Video, Netflix, Roku","50"" TV with Netflix","50"" HDTV with Amazon Prime Video, Netflix, premium cable",AC – split–type–ductless system,Patio or balcony,Luggage drop–off allowed,High chair,Fast Wifi – 415 Mbps,"50"" HDTV with Amazon Prime Video, Fire TV, Hulu, Netflix",Fast wifi – 662 Mbps,"65"" HDTV",Canal view,"50"" HDTV with Amazon Prime Video",Free ryer – In unit,Shared pool,Private sauna,Free parking on premises – 1 space,"60"" HDTV with standard cable","50"" HDTV with Amazon Prime Video, HBO Max, Netflix, Roku",Private hot tub,Pool view,TV with standard cable,Public of shared beach access,"50"" HDTV","45"" HDTV","40"" TV with Netflix","55"" TV",Dedicated worskpace,Private patio or balcony,"70"" TV with Roku","50"" TV",TV with Netflix,Fast wifi – 522 Mbps,TV with Roku,Park view,Lake access,Piano,Fast wifi – 416 Mbps,"Shared outdoor pool – available seasonally, open specific hours"
Stylish Condo Heart of Downtown,Entire rental unit,220,N/A,2,1,1,1,N/A,N/A,5,27,5,5,5,5,5,4.7,"['stylish', 'condo', 'heart', 'downtown']",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CN Tower & Lake Views, Heart of Downtown Toronto",N/A,225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.95,155,4.9,4.8,4.9,4.9,5,4.7,"['tower', 'lake', 'view', 'heart', 'downtown', 'toronto']",1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute Den bedroom in Old Toronto,Place to stay in a home,128,N/A,2,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['cute', 'den', 'bedroom', 'old', 'toronto']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazing 2 Storey Loft 3 BED In Central Downtown,Entire loft,464,402,6,1,3,1.5,N/A,18,4.84,127,N/A,N/A,N/A,N/A,N/A,N/A,"['amaze', 'storey', 'loft', 'bed', 'central', 'downtown']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beautiful Apartment In Heart of Downtown Toronto,Entire rental unit,303,N/A,5,1,2,1,N/A,62,4.94,17,N/A,N/A,N/A,N/A,N/A,N/A,"['beautiful', 'apartment', 'heart', 'downtown', 'toronto']",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entire Condo Downtown Toronto + Gym - Yorkville,Entire rental unit,230,N/A,3,1,2,1,N/A,N/A,4.95,20,N/A,N/A,N/A,N/A,N/A,N/A,"['entire', 'condo', 'downtown', 'toronto', 'gym', 'yorkville']",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stunning 1BR Condo Overlooking Yorkville,Entire condo,206,N/A,2,1,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['stun', '1br', 'condo', 'overlook', 'yorkville']",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Modern Skyline 1BR Suite with City View, Yorkville",Entire condo,241,204,3,1,2,1,N/A,N/A,4.75,4,4.8,4.8,4.8,5,5,5,"['modern', 'skyline', '1br', 'suite', 'city', 'view', 'yorkville']",0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Bdr condo in heart of toronto/scotiabank arena,Entire rental unit,259,230,3,1,1,1,N/A,46,4.74,27,N/A,N/A,N/A,N/A,N/A,N/A,"['1bdr', 'condo', 'heart', 'torontoscotiabank', 'arena']",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Yorkville retreat,Entire condo,177,N/A,2,0,2,1,N/A,N/A,4.93,14,N/A,N/A,N/A,N/A,N/A,N/A,"['south', 'yorkville', 'retreat']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
